time,swing,boom,arm,bucket,swingmodel,boommodel,armmodel,bucketmodel
25.919268,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
25.930518,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
25.942853,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
25.962642,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
25.974302,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
25.996008,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
26.012258,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
26.023360,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
26.056700,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
26.068863,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
26.098475,-1.5688,-0.956,1.5712,-0.5224,89.88562,333.5692,90,330.0687
26.122918,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
26.135216,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
26.163198,-1.568,-0.956,1.5712,-0.5224,89.83978,333.5692,90,330.0687
26.179376,-1.568,-0.956,1.5712,-0.5224,89.83978,333.5692,90,330.0687
26.201404,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
26.212545,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
26.239205,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
26.256072,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
26.266840,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
26.277791,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
26.309559,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
26.330750,-1.5688,-0.956,1.5712,-0.5224,89.88562,333.5692,90,330.0687
26.342470,-1.5688,-0.956,1.5712,-0.5224,89.88562,333.5692,90,330.0687
26.364885,-1.568,-0.956,1.5712,-0.5224,89.83978,333.5692,90,330.0687
26.379808,-1.568,-0.956,1.5712,-0.5224,89.83978,333.5692,90,330.0687
26.404283,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
26.416059,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
